ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_USMFv2_tt,residual_USMFv2_tt,Dl_USMFv2_te,residual_USMFv2_te,Dl_USMFv2_ee,residual_USMFv2_ee
599,2206.46,28.2947,18.225,1300.54,905.922,-27.4866,55.7813,13.9692,4.25578,1741.89,464.575,-32.6506,60.9453,1.70755,16.5175
608,2119.7,32.2515,22.1034,1327.48,792.215,-34.6943,66.9458,14.9907,7.11267,1781.4,338.298,-33.1779,65.4294,1.80997,20.2934
617,2135.45,23.9273,25.8934,1363.05,772.405,-42.4835,66.4108,15.8121,10.0813,1823.51,311.945,-33.2797,57.207,1.87987,24.0135
626,1951.2,10.8452,25.9867,1407.93,543.263,-50.6173,61.4625,16.4165,9.57019,1867.91,83.2845,-33.0492,43.8944,1.92102,24.0656
635,1938.19,7.54114,30.1719,1462.49,475.697,-58.7689,66.3101,16.7856,13.3863,1913.97,24.2173,-32.4897,40.0308,1.93592,28.2359
644,1859.9,-5.033,32.9222,1526.63,333.273,-66.5235,61.4905,16.9045,16.0176,1960.59,-100.694,-31.5163,26.4833,1.93025,30.9919
653,1847.08,-15.3753,32.8238,1599.75,247.337,-73.3825,58.0072,16.7636,16.0602,2006.21,-159.125,-29.9602,14.5849,1.91462,30.9091
662,1848.18,-29.9359,34.7378,1680.96,167.226,-78.9415,49.0056,16.3692,18.3686,2049.9,-201.714,-27.7129,-2.22304,1.89521,32.8426
671,1814.96,-56.9826,36.3808,1769,45.959,-83.0003,26.0177,15.7351,20.6458,2091.85,-276.895,-24.8182,-32.1644,1.85302,34.5278
680,1760.56,-66.7884,36.6042,1862.02,-101.454,-85.354,18.5657,14.8886,21.7156,2131.8,-371.237,-21.3108,-45.4775,1.7802,34.824
689,1822.41,-80.806,38.1163,1957.48,-135.07,-85.7773,4.97136,13.8694,24.247,2168.79,-346.378,-17.2051,-63.6008,1.68103,36.4353
698,1884.92,-94.2074,38.9399,2052.33,-167.41,-84.0721,-10.1353,12.7456,26.1944,2201.33,-316.42,-12.5425,-81.6649,1.58836,37.3516
707,1891,-99.954,36.5131,2143.04,-252.04,-80.0679,-19.8861,11.5904,24.9226,2227.54,-336.539,-7.36349,-92.5905,1.53878,34.9743
716,1908.77,-113.946,36.4293,2227.18,-318.413,-73.7549,-40.191,10.447,25.9824,2246.82,-338.052,-1.63954,-112.306,1.52844,34.9009
725,1994.29,-122.488,33.4393,2302.65,-308.356,-65.2241,-57.2643,9.34621,24.0931,2259.06,-264.765,4.66618,-127.155,1.53649,31.9028
734,2050.06,-127.683,32.2593,2367.34,-317.28,-54.6839,-72.9993,8.34208,23.9172,2264.13,-214.072,11.4735,-139.157,1.56495,30.6944
743,2184.75,-130.614,27.6853,2418.64,-233.887,-42.3929,-88.2206,7.49505,20.1903,2261.41,-76.6546,18.6525,-149.266,1.62244,26.0629
752,2260,-131.217,27.3087,2453.6,-193.601,-28.7114,-102.506,6.87967,20.429,2249.92,10.0838,25.9718,-157.189,1.7317,25.577
761,2344.61,-126.704,24.6929,2470.21,-125.603,-14.0288,-112.675,6.55075,18.1422,2229.07,115.539,33.2343,-159.938,1.90883,22.7841
770,2348.38,-117.03,21.1035,2468.22,-119.841,1.36865,-118.399,6.51968,14.5838,2198.88,149.501,40.4799,-157.51,2.15385,18.9496
779,2350.93,-109.053,19.3843,2447.09,-96.161,17.1374,-126.191,6.79102,12.5932,2158.92,192.009,47.7077,-156.761,2.46347,16.9208
788,2481.01,-104.286,19.3659,2407.47,73.546,32.784,-137.07,7.36602,11.9998,2109.95,371.058,54.7671,-159.053,2.83102,16.5348
797,2466.93,-89.1184,17.3212,2349.42,117.518,47.8216,-136.94,8.23856,9.08262,2052.16,414.77,61.5139,-150.632,3.24253,14.0787
806,2493.81,-77.0153,16.1542,2274.27,219.534,61.6123,-138.628,9.39719,6.75701,1986.91,506.899,67.645,-144.66,3.68132,12.4729
815,2552.73,-64.7342,14.1638,2183,369.731,73.8502,-138.584,10.8193,3.34448,1914.13,638.593,73.0936,-137.828,4.15094,10.0129
824,2521.81,-49.9835,12.1229,2077.86,443.943,84.2991,-134.283,12.4695,-0.346687,1834.44,687.365,77.8015,-127.785,4.66224,7.46061
833,2495.02,-27.9085,11.6282,1960.84,534.176,92.7666,-120.675,14.2988,-2.6706,1748.1,746.915,81.7531,-109.662,5.21283,6.4154
