ell,Dl_obs,Dl_te_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_LambdaCDM_tt,residual_LambdaCDM_tt,Dl_LambdaCDM_te,residual_LambdaCDM_te
608,2119.7,38.5251,2.19904e+07,-2.19883e+07,282570,-282532,2.19904e+07,-2.19883e+07,282570,-282532
617,2135.45,36.9238,2.19058e+07,-2.19037e+07,341000,-340964,2.19058e+07,-2.19037e+07,341000,-340964
626,1951.2,35.384,2.17251e+07,-2.17232e+07,380243,-380207,2.17251e+07,-2.17232e+07,380243,-380207
635,1938.19,34.0308,2.14736e+07,-2.14716e+07,396827,-396793,2.14736e+07,-2.14716e+07,396827,-396793
644,1859.9,32.9691,2.11761e+07,-2.11742e+07,387832,-387799,2.11761e+07,-2.11742e+07,387832,-387799
653,1847.08,32.0668,2.08561e+07,-2.08542e+07,350979,-350947,2.08561e+07,-2.08542e+07,350979,-350947
662,1848.18,31.431,2.0542e+07,-2.05402e+07,285349,-285317,2.0542e+07,-2.05402e+07,285349,-285317
671,1814.96,30.9706,2.02702e+07,-2.02684e+07,191811,-191780,2.02702e+07,-2.02684e+07,191811,-191780
680,1760.56,30.8636,2.00753e+07,-2.00735e+07,71880.9,-71850,2.00753e+07,-2.00735e+07,71880.9,-71850
689,1822.41,30.9687,1.99882e+07,-1.99864e+07,-72390.8,72421.8,1.99882e+07,-1.99864e+07,-72390.8,72421.8
698,1884.92,31.295,2.00374e+07,-2.00355e+07,-238881,238912,2.00374e+07,-2.00355e+07,-238881,238912
707,1891,31.8141,2.02455e+07,-2.02436e+07,-424912,424944,2.02455e+07,-2.02436e+07,-424912,424944
716,1908.77,32.5686,2.06276e+07,-2.06257e+07,-625055,625088,2.06276e+07,-2.06257e+07,-625055,625088
725,1994.29,33.344,2.11925e+07,-2.11905e+07,-832366,832399,2.11925e+07,-2.11905e+07,-832366,832399
734,2050.06,34.2482,2.19492e+07,-2.19472e+07,-1.04051e+06,1.04054e+06,2.19492e+07,-2.19472e+07,-1.04051e+06,1.04054e+06
743,2184.75,35.1755,2.29002e+07,-2.28981e+07,-1.24311e+06,1.24314e+06,2.29002e+07,-2.28981e+07,-1.24311e+06,1.24314e+06
752,2260,36.1334,2.40433e+07,-2.4041e+07,-1.43444e+06,1.43448e+06,2.40433e+07,-2.4041e+07,-1.43444e+06,1.43448e+06
761,2344.61,36.9908,2.53689e+07,-2.53665e+07,-1.60897e+06,1.60901e+06,2.53689e+07,-2.53665e+07,-1.60897e+06,1.60901e+06
