Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_LambdaCDM,residual_LambdaCDM
SDSS13830,0.32837,40.91823,0.134054,41.09264,-0.17440959,41.110991,-0.19276091
SDSS14456,0.32837,40.95845,0.124052,41.09264,-0.13418999,41.110991,-0.15254131
SDSS13934,0.32838,41.451418,0.136536,41.092718,0.35869931,41.111069,0.34034818
SDSS4241,0.33051,41.221878,0.12568,41.109337,0.11254127,41.127649,0.094229239
03D1fc,0.330932,41.057624,0.086437,41.112618,-0.054994058,41.130922,-0.073298349
SDSS4679,0.33103,40.994302,0.136212,41.113379,-0.11907705,41.131682,-0.13737954
SDSS20106,0.33136,41.312067,0.135299,41.115942,0.19612548,41.134238,0.17782904
SDSS16093,0.33436,41.254482,0.132618,41.139131,0.11535069,41.157372,0.097109282
04D3kr,0.337534,41.247685,0.086047,41.163461,0.084223707,41.181644,0.066040473
SDSS2533,0.3388,41.30944,0.129777,41.173108,0.13633264,41.191268,0.1181726
04D3nh,0.34052,41.285303,0.0859,41.186162,0.099141764,41.20429,0.081013227
03D1bp,0.345928,41.411108,0.087263,41.226821,0.18428751,41.24485,0.16625793
05D2ie,0.349557,41.497971,0.086821,41.253783,0.24418809,41.271746,0.22622486
04D2mc,0.34956,41.044308,0.089792,41.253805,-0.20949718,41.271769,-0.22746036
05D2hc,0.35156,41.523688,0.086351,41.268557,0.25513165,41.286483,0.23720501
SDSS19067,0.35346,41.102633,0.125157,41.2825,-0.1798676,41.300392,-0.19775954
05D2mp,0.355261,41.574652,0.088265,41.295655,0.27899699,41.313514,0.26113792
03D3bl,0.35582,41.349554,0.087008,41.299725,0.04982876,41.317574,0.03197989
04D3fk,0.358336,41.265612,0.086303,41.317976,-0.052363402,41.335779,-0.07016638
04D2fs,0.35857,41.300602,0.086485,41.319667,-0.019064928,41.337466,-0.036863639
SDSS4577,0.36193,41.385403,0.13291,41.343845,0.041558038,41.361583,0.023820565
SDSS15704,0.36397,41.634053,0.127982,41.358426,0.27562729,41.376126,0.25792697
SDSS13136,0.36441,41.757434,0.131873,41.361561,0.39587253,41.379253,0.37818023
SDSS16232,0.36554,41.511378,0.137024,41.369597,0.1417807,41.387269,0.12410896
04D1hd,0.367904,41.603385,0.086082,41.386336,0.2170491,41.403964,0.19942038
SDSS14397,0.36941,41.776703,0.131466,41.396949,0.37975402,41.41455,0.36215269
SDSS18091,0.37013,41.457867,0.138604,41.402009,0.055857967,41.419597,0.038269724
05D4bm,0.370511,41.502519,0.086476,41.404683,0.097836028,41.422264,0.080254712
05D3jr,0.370531,41.401449,0.086626,41.404823,-0.0033739692,41.422404,-0.020954922
04D2cf,0.370586,41.434925,0.095747,41.405209,0.029716289,41.422789,0.012136337
03D3ay,0.371443,41.572252,0.091326,41.411213,0.16103914,41.428778,0.14347477
05D4fo,0.371508,41.548853,0.086225,41.411668,0.13718473,41.429231,0.11962154
05D4cw,0.373513,41.478103,0.086768,41.425665,0.052438067,41.443192,0.0349113
SDSS15756,0.37835,42.112175,0.135103,41.459154,0.65302101,41.476593,0.63558204
SDSS7779,0.37986,41.476242,0.118539,41.469529,0.0067130715,41.48694,-0.010698511
SDSS11206,0.38026,41.674685,0.138121,41.472271,0.20241414,41.489675,0.18500981
SDSS15456,0.38047,41.140725,0.12548,41.473709,-0.33298455,41.49111,-0.35038507
