Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_LambdaCDM,residual_LambdaCDM
2001ep,0.01306,33.5028,0.331124,33.608688,-0.10588764,33.608688,-0.10588764
2013gy,0.01309,33.7355,0.239783,33.613716,0.12178415,33.613716,0.12178415
2013gy,0.01309,33.7607,0.28722,33.613716,0.14698415,33.613716,0.14698415
1997E,0.01314,33.7649,0.288791,33.622071,0.14282911,33.622071,0.14282911
1999dq,0.01334,33.52,0.273536,33.655179,-0.13517891,33.655179,-0.13517891
1999dq,0.01334,33.4717,0.261601,33.655179,-0.18347891,33.655179,-0.18347891
2008hv,0.0136,33.797,0.277855,33.697492,0.099508438,33.697492,0.099508438
2008hv,0.0136,33.772,0.235755,33.697492,0.074508438,33.697492,0.074508438
2008hv,0.0136,33.7683,0.232778,33.697492,0.070808438,33.697492,0.070808438
2007cv,0.01361,33.6741,0.345367,33.699103,-0.025002922,33.699103,-0.025002922
2005kc,0.01386,34.0249,0.352338,33.73901,0.28588973,33.73901,0.28588973
2005kc,0.01386,34.0187,0.307194,33.73901,0.27968973,33.73901,0.27968973
1999dk,0.014,33.8053,0.288803,33.761048,0.044251945,33.761048,0.044251945
1999dk,0.014,33.6651,0.296207,33.761048,-0.095948055,33.761048,-0.095948055
2011df,0.01402,33.8524,0.277558,33.764178,0.088221523,33.764178,0.088221523
ASASSN-16dn,0.01406,33.8206,0.250873,33.770426,0.050173925,33.770426,0.050173925
2001bt,0.01407,33.7492,0.416658,33.771985,-0.022785224,33.771985,-0.022785224
2006N,0.01416,33.9078,0.240515,33.785968,0.12183162,33.785968,0.12183162
2004eo,0.0142,33.8826,0.249316,33.792155,0.090445118,33.792155,0.090445118
2003gt,0.01422,33.9253,0.243928,33.795242,0.13005833,33.795242,0.13005833
ASASSN-16la,0.01424,33.8444,0.265489,33.798324,0.046075848,33.798324,0.046075848
2013fa,0.01429,33.7894,0.397352,33.806012,-0.016611651,33.806012,-0.016611651
1992al,0.01434,33.6968,0.233531,33.813673,-0.11687256,33.813673,-0.11687256
2001fe,0.01448,33.8916,0.240694,33.834983,0.056616794,33.834983,0.056616794
PSNJ2043531,0.01449,34.1902,0.372674,33.836498,0.35370242,33.836498,0.35370242
2013gq,0.01457,33.7526,0.2163,33.848575,-0.095975442,33.848575,-0.095975442
2000dm,0.01472,34.0109,0.270222,33.871045,0.1398545,33.871045,0.1398545
2005el,0.01483,33.974,0.229564,33.88738,0.086620067,33.88738,0.086620067
2005el,0.01483,33.9261,0.231708,33.88738,0.038720067,33.88738,0.038720067
2011im,0.01493,34.2732,0.34036,33.902126,0.37107433,33.902126,0.37107433
2005de,0.01495,34.1793,0.26677,33.905063,0.27423692,33.905063,0.27423692
2005bo,0.01503,33.7553,0.390506,33.916774,-0.16147397,33.916774,-0.16147397
2005bo,0.01503,33.7189,0.39282,33.916774,-0.19787397,33.916774,-0.19787397
2006td,0.01504,34.1727,0.365029,33.918233,0.25446651,33.918233,0.25446651
2008ec,0.01506,34.1302,0.33431,33.92115,0.20905035,33.92115,0.20905035
2008ec,0.01506,34.1732,0.264363,33.92115,0.25205035,33.92115,0.25205035
2007ca,0.01509,34.3366,0.370715,33.925517,0.41108329,33.925517,0.41108329
2007ca,0.01509,34.1781,0.396908,33.925517,0.25258329,33.925517,0.25258329
2001cn,0.01509,33.8877,0.294985,33.925517,-0.03781671,33.925517,-0.03781671
2007ca,0.01509,34.252,0.397235,33.925517,0.32648329,33.925517,0.32648329
ATLAS16cxr,0.01518,34.3426,0.372888,33.938567,0.40403348,33.938567,0.40403348
ASASSN-16ad,0.01522,34.0334,0.344305,33.944342,0.089058121,33.944342,0.089058121
2009nq,0.01527,34.1657,0.28688,33.95154,0.21416001,33.95154,0.21416001
SN2017jl,0.01529,33.7706,0.30219,33.954413,-0.1838127,33.954413,-0.1838127
1999ej,0.01534,34.2581,0.272528,33.961578,0.29652175,33.961578,0.29652175
1999ej,0.01534,34.2112,0.258071,33.961578,0.24962175,33.961578,0.24962175
2001en,0.01534,33.9994,0.28632,33.961578,0.037821754,33.961578,0.037821754
2001en,0.01534,33.8852,0.313932,33.961578,-0.076378246,33.961578,-0.076378246
2002cs,0.01538,34.0329,0.272511,33.967294,0.065605938,33.967294,0.065605938
2008eo,0.01539,34.3317,0.278713,33.968721,0.36297928,33.968721,0.36297928
2001bf,0.01556,33.9004,0.218994,33.992835,-0.092434513,33.992835,-0.092434513
2001bf,0.01556,33.9926,0.239289,33.992835,-0.00023451257,33.992835,-0.00023451257
iPTF16auf,0.01566,34.0744,0.314862,34.006898,0.067502382,34.006898,0.067502382
2013fw,0.0157,34.1608,0.218117,34.012498,0.148302,34.012498,0.148302
2008bc,0.01572,34.0331,0.226465,34.015293,0.017807105,34.015293,0.017807105
1999aa,0.01579,34.1323,0.209471,34.025047,0.10725259,34.025047,0.10725259
ASASSN-15oh,0.01579,34.3916,0.270341,34.025047,0.36655259,34.025047,0.36655259
1999aa,0.01579,34.1663,0.242893,34.025047,0.14125259,34.025047,0.14125259
iPTF13dge,0.01581,34.2793,0.261916,34.027827,0.25147345,34.027827,0.25147345
2001V,0.01592,33.7902,0.290577,34.04305,-0.25284996,34.04305,-0.25284996
2001V,0.01592,33.8072,0.290395,34.04305,-0.23584996,34.04305,-0.23584996
2010kg,0.01595,33.9999,0.334729,34.047184,-0.047283744,34.047184,-0.047283744
PSNJ0107203,0.01601,33.9673,0.284408,34.055428,-0.088128282,34.055428,-0.088128282
1998ef,0.0161,33.841,0.289311,34.067738,-0.22673796,34.067738,-0.22673796
1998ef,0.0161,33.8975,0.264562,34.067738,-0.17023796,34.067738,-0.17023796
2013Q,0.01612,33.9726,0.41528,34.070464,-0.097864199,34.070464,-0.097864199
1994S,0.01619,34.0287,0.224824,34.07998,-0.05127976,34.07998,-0.05127976
2007ss,0.01619,34.4137,0.34637,34.07998,0.33372024,34.07998,0.33372024
2013hn,0.01629,34.0697,0.290382,34.093503,-0.023803068,34.093503,-0.023803068
2005al,0.01629,33.9986,0.219937,34.093503,-0.094903068,34.093503,-0.094903068
SN2016gfr,0.0163,33.8985,0.245383,34.094851,-0.19635088,34.094851,-0.19635088
ASASSN-16ip,0.01632,34.1679,0.246475,34.097544,0.070355947,34.097544,0.070355947
2007fs,0.01633,34.3408,0.198023,34.098889,0.24191058,34.098889,0.24191058
iPTF14bdn,0.01636,34.1062,0.281582,34.102921,0.0032793805,34.102921,0.0032793805
2007A,0.01646,34.5341,0.341619,34.116305,0.41779463,34.116305,0.41779463
2007A,0.01646,34.4649,0.358327,34.116305,0.34859463,34.116305,0.34859463
2004fz,0.01646,33.7799,0.330633,34.116305,-0.33640537,34.116305,-0.33640537
2000dk,0.01649,34.1517,0.257136,34.120305,0.031394888,34.120305,0.031394888
2000dk,0.01649,34.1436,0.28269,34.120305,0.023294888,34.120305,0.023294888
2001da,0.01658,34.2003,0.325329,34.132261,0.068038681,34.132261,0.068038681
2001da,0.01658,34.022,0.308995,34.132261,-0.11026132,34.132261,-0.11026132
1997Y,0.01661,34.1973,0.214463,34.136232,0.061067537,34.136232,0.061067537
ASASSN-15ti,0.01671,34.4894,0.310314,34.149419,0.33998142,34.149419,0.33998142
1996bv,0.01673,34.0755,0.297815,34.152046,-0.076546438,34.152046,-0.076546438
ASASSN-15od,0.01678,34.3409,0.228387,34.158603,0.18229748,34.158603,0.18229748
2007fb,0.0168,34.4009,0.221698,34.16122,0.23968045,34.16122,0.23968045
2007fb,0.0168,34.5101,0.231239,34.16122,0.34888045,34.16122,0.34888045
2006ef,0.01694,34.361,0.220285,34.179453,0.18154706,34.179453,0.18154706
ASASSN-15kx,0.01697,34.6084,0.219814,34.183341,0.42505929,34.183341,0.42505929
2008C,0.01709,34.2669,0.262425,34.198824,0.068075861,34.198824,0.068075861
2008C,0.01709,34.31,0.263557,34.198824,0.11117586,34.198824,0.11117586
1998V,0.01718,34.1465,0.231417,34.210366,-0.063866347,34.210366,-0.063866347
2008L,0.01734,34.3364,0.210115,34.230739,0.10566097,34.230739,0.10566097
2008L,0.01734,34.2464,0.213428,34.230739,0.015660966,34.230739,0.015660966
2009le,0.01739,34.2939,0.246602,34.237067,0.056832591,34.237067,0.056832591
2009le,0.01739,34.2418,0.22287,34.237067,0.0047325911,34.237067,0.0047325911
