ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_LambdaCDM_tt,residual_LambdaCDM_tt,Dl_LambdaCDM_te,residual_LambdaCDM_te,Dl_LambdaCDM_ee,residual_LambdaCDM_ee
1049,1081.98,-73.5188,35.8932,1101.73,-19.7479,-18.7846,-54.7342,47.4217,-11.5285,1101.73,-19.7479,-18.7846,-54.7342,47.4217,-11.5285
1058,1129.81,-82.3317,37.0442,1080.63,49.1828,-32.2104,-50.1213,46.9977,-9.95348,1080.63,49.1828,-32.2104,-50.1213,46.9977,-9.95348
1067,1122.39,-80.9655,28.6378,1070.71,51.6804,-45.0528,-35.9127,46.0885,-17.4507,1070.71,51.6804,-45.0528,-35.9127,46.0885,-17.4507
1076,1153.29,-78.7501,25.1823,1070.64,82.6469,-56.899,-21.8511,44.734,-19.5517,1070.64,82.6469,-56.899,-21.8511,44.734,-19.5517
1085,1217.71,-73.3497,20.9454,1079.11,138.6,-67.4121,-5.93762,42.9822,-22.0369,1079.11,138.6,-67.4121,-5.93762,42.9822,-22.0369
1094,1216.98,-76.2582,25.9907,1094.95,122.03,-76.307,0.0488136,40.874,-14.8833,1094.95,122.03,-76.307,0.0488136,40.874,-14.8833
1103,1211.44,-56.3317,16.4541,1117.2,94.2347,-83.3753,27.0436,38.4476,-21.9934,1117.2,94.2347,-83.3753,27.0436,38.4476,-21.9934
1112,1213.36,-55.9813,15.7459,1144.51,68.8524,-88.4901,32.5088,35.7639,-20.0181,1144.51,68.8524,-88.4901,32.5088,35.7639,-20.0181
1121,1246.29,-48.5737,15.3649,1174.76,71.536,-91.6284,43.0547,32.9276,-17.5627,1174.76,71.536,-91.6284,43.0547,32.9276,-17.5627
1130,1237.54,-42.9851,15.5914,1205.95,31.588,-92.7932,49.8081,30.0345,-14.4431,1205.95,31.588,-92.7932,49.8081,30.0345,-14.4431
1139,1215.83,-47.6841,13.6421,1236.48,-20.649,-92.0143,44.3301,27.1684,-13.5263,1236.48,-20.649,-92.0143,44.3301,27.1684,-13.5263
1148,1212.52,-23.673,13.5995,1264.9,-52.3801,-89.3154,65.6424,24.3966,-10.7971,1264.9,-52.3801,-89.3154,65.6424,24.3966,-10.7971
1157,1220.58,-15.6744,14.5019,1290.04,-69.4552,-84.7455,69.0711,21.7749,-7.27305,1290.04,-69.4552,-84.7455,69.0711,21.7749,-7.27305
1166,1159.29,-21.3026,9.18108,1310.85,-151.554,-78.5716,57.269,19.3716,-10.1905,1310.85,-151.554,-78.5716,57.269,19.3716,-10.1905
1175,1143.31,-13.603,10.5746,1326.34,-183.031,-71.1411,57.5382,17.2538,-6.67915,1326.34,-183.031,-71.1411,57.5382,17.2538,-6.67915
1184,1136.56,-5.79308,12.8028,1335.72,-199.158,-62.7659,56.9728,15.4764,-2.67361,1335.72,-199.158,-62.7659,56.9728,15.4764,-2.67361
1193,1086.25,-2.23866,12.7564,1338.26,-252.01,-53.7154,51.4767,14.0833,-1.32689,1338.26,-252.01,-53.7154,51.4767,14.0833,-1.32689
1202,1005.41,0.797025,23.1519,1333.44,-328.033,-44.2075,45.0045,13.1087,10.0433,1333.44,-328.033,-44.2075,45.0045,13.1087,10.0433
