ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_USMFv2_tt,residual_USMFv2_tt,Dl_USMFv2_te,residual_USMFv2_te,Dl_USMFv2_ee,residual_USMFv2_ee
1733,407.61,-28.2166,10.7442,393.47,14.1405,-30.7513,2.53479,9.86514,0.879028,640.546,-232.935,-30.7854,2.56887,11.9831,-1.23897
1750,377.716,-22.2324,37.1788,392.201,-14.4849,-25.8865,3.65413,8.17466,29.0041,658.244,-280.528,-23.0012,0.768781,10.2131,26.9657
1767,379.019,-13.1588,21.6818,385.043,-6.02411,-20.3455,7.18671,7.00642,14.6754,666.532,-287.513,-13.8397,0.680916,9.08757,12.5943
1784,377.36,-11.8144,-18.8184,372.071,5.28868,-14.7966,2.98214,6.41017,-25.2286,664.269,-286.91,-4.12143,-7.69302,8.64558,-27.464
1801,358.796,-8.0874,23.4248,354.081,4.715,-9.84775,1.76035,6.37064,17.0542,651.081,-292.285,5.3731,-13.4605,8.86658,14.5582
1818,342.446,-0.976027,18.7414,332.428,10.018,-5.98479,5.00876,6.81212,11.9293,627.404,-284.958,13.9544,-14.9304,9.67262,9.06877
1835,313.006,-4.91613,16.6022,308.839,4.16731,-3.54117,-1.37496,7.6112,8.99096,594.904,-281.898,20.981,-25.8971,10.948,5.65414
1852,305.378,1.81527,-6.23088,285.165,20.213,-2.65447,4.46974,8.61773,-14.8486,555.554,-250.176,25.9855,-24.1702,12.5525,-18.7833
1869,276.147,-4.78882,36.2976,263.107,13.0397,-3.27355,-1.51527,9.67027,26.6273,511.533,-235.386,28.7024,-33.4912,14.3258,21.9718
1886,265.911,1.66045,0.555329,244.136,21.7753,-5.17907,6.83953,10.6139,-10.0586,465.817,-199.906,29.0709,-27.4104,16.0903,-15.535
1903,249.92,-11.107,-18.6965,229.231,20.6889,-8.02168,-3.08534,11.3203,-30.0168,421.071,-171.151,27.1672,-38.2742,17.6906,-36.3871
1920,257.96,-8.76494,26.026,218.842,39.1184,-11.3716,2.60663,11.6977,14.3283,379.569,-121.609,23.2347,-31.9997,18.9959,7.03011
1937,245.342,-13.224,20.5827,212.923,32.419,-14.768,1.54406,11.6985,8.88414,343.439,-98.0965,17.7553,-30.9793,19.8911,0.691597
1954,231.313,-5.86213,-42.7334,210.914,20.3991,-17.7835,11.9214,11.3221,-54.0555,314.335,-83.0224,11.2084,-17.0706,20.3038,-63.0372
1971,229.279,-28.0519,51.929,211.854,17.4246,-20.0648,-7.98719,10.6088,41.3202,293.193,-63.9139,4.10893,-32.1609,20.2066,31.7224
1988,225.825,-27.8392,5.28485,214.565,11.2602,-21.3599,-6.4793,9.6364,-4.35155,280.067,-54.2422,-2.90809,-24.9311,19.6163,-14.3315
2005,240.086,,,217.767,22.3196,-21.5523,,8.50512,,274.828,-34.7419,-9.31572,,18.5739,
2030,233.983,,,220.807,13.1752,-19.8867,,6.78238,,279.586,-45.6036,-16.7538,,16.3923,
2063,216.247,,,217.453,-1.20647,-14.993,,4.90017,,300.684,-84.4371,-21.4636,,12.905,
2096,204.908,,,203.256,1.65241,-8.94227,,3.91441,,326.908,-122,-19.8815,,9.53224,
2129,200.092,,,180.154,19.9384,-3.91495,,3.92358,,345.407,-145.315,-13.0416,,7.05896,
2162,168.762,,,153.447,15.3155,-1.39684,,4.63358,,347.585,-178.823,-3.48621,,5.93996,
2195,140.144,,,129.249,10.8954,-1.6991,,5.52911,,330.443,-190.298,5.95842,,6.21399,
2228,129.223,,,112.006,17.2175,-4.03278,,6.10903,,296.722,-167.499,12.6536,,7.55859,
2261,118.304,,,103.074,15.2302,-6.985,,6.07196,,254.049,-135.745,15.1245,,9.35879,
2294,118.51,,,100.687,17.823,-9.16361,,5.40618,,211.208,-92.6986,13.1333,,10.9827,
2327,115.407,,,101.223,14.1847,-9.73048,,4.3456,,176.738,-61.3302,7.69443,,11.8779,
2360,114.999,,,100.876,14.1223,-8.62226,,3.24406,,155.53,-40.5317,0.716558,,11.7851,
2393,126.918,,,97.1705,29.747,-6.45065,,2.41865,,148.886,-21.9683,-5.78929,,10.7175,
2426,90.007,,,89.6659,0.341042,-4.13723,,2.03684,,153.922,-63.9149,-10.0447,,8.96655,
2459,83.9457,,,79.7089,4.23683,-2.5118,,2.07684,,165.045,-81.0997,-11.2103,,6.98852,
2492,78.7067,,,69.5898,9.11692,-1.99193,,2.36609,,176.008,-97.3012,-9.25441,,5.23868,
