Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_LambdaCDM,residual_LambdaCDM
SDSS21062,0.14564,39.482628,0.114307,39.160914,0.32171309,39.160914,0.32171309
SDSS19940,0.14582,39.01236,0.112189,39.163842,-0.15148146,39.163842,-0.15148146
SDSS12930,0.14607,39.310932,0.117074,39.167902,0.14303024,39.167902,0.14303024
SDSS2308,0.148,39.305036,0.111944,39.199029,0.10600657,39.199029,0.10600657
SDSS21510,0.14839,39.153355,0.11378,39.205273,-0.051917435,39.205273,-0.051917435
SDSS16116,0.1486,39.394763,0.112448,39.208629,0.18613427,39.208629,0.18613427
SDSS13736,0.14901,39.262975,0.112283,39.215168,0.047807317,39.215168,0.047807317
SDSS16206,0.15065,39.118932,0.113842,39.241157,-0.122225,39.241157,-0.122225
SDSS2031,0.15186,39.204258,0.112035,39.260164,-0.055906265,39.260164,-0.055906265
SDSS15132,0.15295,39.375366,0.111718,39.277165,0.098201323,39.277165,0.098201323
SDSS19353,0.15322,39.272281,0.113617,39.281359,-0.0090775318,39.281359,-0.0090775318
SDSS18323,0.15363,39.448143,0.115274,39.287714,0.16042838,39.287714,0.16042838
SDSS17253,0.15463,39.371679,0.1715,39.303149,0.068530399,39.303149,0.068530399
SDSS5550,0.15473,39.335028,0.111655,39.304687,0.030340537,39.304687,0.030340537
SDSS18030,0.15506,39.511723,0.118308,39.309757,0.20196564,39.309757,0.20196564
SDSS18740,0.15575,39.142044,0.111931,39.320326,-0.17828247,39.320326,-0.17828247
SDSS16165,0.15596,39.343842,0.112725,39.323534,0.020308116,39.323534,0.020308116
SDSS13354,0.15653,39.221901,0.113012,39.332221,-0.11032005,39.332221,-0.11032005
SDSS17171,0.15895,39.372873,0.145393,39.368777,0.0040962749,39.368777,0.0040962749
SDSS15425,0.15935,39.113679,0.111983,39.374769,-0.26109069,39.374769,-0.26109069
SDSS17825,0.15999,39.420751,0.113136,39.384328,0.036422472,39.384328,0.036422472
SDSS3317,0.15999,39.263229,0.113095,39.384328,-0.12109972,39.384328,-0.12109972
SDSS2689,0.16035,39.250122,0.114045,39.38969,-0.13956702,39.38969,-0.13956702
SDSS5103,0.1605,39.327255,0.113217,39.39192,-0.064664833,39.39192,-0.064664833
SDSS13411,0.1618,39.568869,0.120879,39.411171,0.15769837,39.411171,0.15769837
SDSS20430,0.16284,39.558532,0.114429,39.426468,0.13206477,39.426468,0.13206477
SDSS19174,0.16357,39.286594,0.114386,39.437151,-0.15055721,39.437151,-0.15055721
SDSS20764,0.16387,39.453797,0.113522,39.441529,0.012268742,39.441529,0.012268742
SDSS3087,0.1644,39.365084,0.11306,39.449244,-0.084159703,39.449244,-0.084159703
SDSS19616,0.16455,39.387664,0.113442,39.451423,-0.063759802,39.451423,-0.063759802
SDSS12843,0.16565,39.202247,0.118455,39.46735,-0.26510253,39.46735,-0.26510253
SDSS12853,0.16817,39.333731,0.116716,39.503468,-0.16973737,39.503468,-0.16973737
SDSS15897,0.16869,39.544445,0.116161,39.510859,0.033586201,39.510859,0.033586201
05D3ne,0.169455,39.580732,0.088415,39.521693,0.059038913,39.521693,0.059038913
SDSS12856,0.17028,39.584277,0.112043,39.533326,0.05095165,39.533326,0.05095165
SDSS12855,0.17063,39.435724,0.114853,39.538245,-0.10252076,39.538245,-0.10252076
SDSS17220,0.17066,39.397723,0.115012,39.538666,-0.14094302,39.538666,-0.14094302
SDSS17389,0.1707,39.808694,0.115438,39.539228,0.26946614,39.539228,0.26946614
SDSS15453,0.17373,39.836681,0.114314,39.581413,0.25526811,39.581413,0.25526811
SDSS3080,0.17374,39.463768,0.112831,39.581551,-0.11778312,39.581551,-0.11778312
SDSS15648,0.17383,39.525192,0.122163,39.582793,-0.057601282,39.582793,-0.057601282
SDSS14421,0.17386,39.700435,0.112491,39.583207,0.11722788,39.583207,0.11722788
SDSS12927,0.17415,39.359493,0.118918,39.587206,-0.22771333,39.587206,-0.22771333
SDSS19969,0.1742,39.514497,0.113041,39.587895,-0.073397937,39.587895,-0.073397937
SDSS19282,0.17558,39.635173,0.113152,39.606835,0.028338271,39.606835,0.028338271
SDSS18807,0.17625,39.745679,0.113139,39.615981,0.1296986,39.615981,0.1296986
SDSS14979,0.17653,39.625476,0.11256,39.619793,0.005682725,39.619793,0.005682725
SDSS18604,0.17656,39.813561,0.113509,39.620201,0.19336007,39.620201,0.19336007
SDSS15365,0.17656,39.786039,0.113446,39.620201,0.16583779,39.620201,0.16583779
SDSS17274,0.17658,40.146933,0.1635,39.620473,0.52645982,39.620473,0.52645982
SDSS15583,0.17706,39.666107,0.113873,39.626994,0.039112033,39.626994,0.039112033
SDSS17218,0.17757,39.634082,0.114576,39.633905,0.00017703017,39.633905,0.00017703017
SDSS14451,0.17789,39.574974,0.112906,39.638232,-0.063257947,39.638232,-0.063257947
SDSS5635,0.1781,40.052473,0.117139,39.641067,0.41140608,39.641067,0.41140608
SDSS15461,0.17865,39.697223,0.113319,39.648479,0.04874369,39.648479,0.04874369
SDSS2372,0.17962,39.562818,0.113572,39.661499,-0.098680479,39.661499,-0.098680479
SDSS6936,0.17969,39.686965,0.113497,39.662436,0.024528992,39.662436,0.024528992
SDSS13254,0.17981,39.981137,0.120493,39.664042,0.31709559,39.664042,0.31709559
