Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_LambdaCDM,residual_LambdaCDM
SDSS2789,0.28872,41.099743,0.124095,41.085707,0.01403616,41.085707,0.01403616
SDSS21006,0.29021,41.013195,0.116557,41.098623,-0.085427908,41.098623,-0.085427908
SDSS19596,0.29135,41.068969,0.12122,41.108464,-0.039494929,41.108464,-0.039494929
03D3ba,0.291718,41.007599,0.093479,41.111633,-0.10403456,41.111633,-0.10403456
SDSS19818,0.29192,40.988963,0.124168,41.113371,-0.12440862,41.113371,-0.12440862
SDSS6249,0.29287,41.066629,0.119196,41.121531,-0.054901172,41.121531,-0.054901172
SDSS19027,0.2935,40.742297,0.120303,41.126928,-0.3846314,41.126928,-0.3846314
SDSS19604,0.29448,41.328777,0.140875,41.135303,0.19347337,41.135303,0.19347337
SDSS19794,0.29542,41.060628,0.134209,41.143313,-0.08268507,41.143313,-0.08268507
SDSS13610,0.29678,40.989071,0.117785,41.15486,-0.16578909,41.15486,-0.16578909
SDSS15057,0.29762,40.980684,0.131068,41.161968,-0.18128372,41.161968,-0.18128372
SDSS6137,0.29888,41.340708,0.124118,41.172595,0.16811256,41.172595,0.16811256
SDSS14735,0.30001,40.892737,0.119386,41.182091,-0.28935405,41.182091,-0.28935405
SDSS5391,0.30021,41.135079,0.128841,41.183769,-0.048689527,41.183769,-0.048689527
SDSS20245,0.30041,40.743364,0.125866,41.185445,-0.44208053,41.185445,-0.44208053
06D4dh,0.30159,41.31708,0.086081,41.195314,0.12176586,41.195314,0.12176586
SDSS7143,0.3024,41.2527,0.118973,41.202069,0.050631706,41.202069,0.050631706
SDSS12883,0.30569,40.793215,0.1459,41.229334,-0.43611948,41.229334,-0.43611948
SDSS15213,0.30632,41.290316,0.127264,41.234524,0.055791909,41.234524,0.055791909
SDSS19632,0.30702,41.291531,0.126631,41.24028,0.051251316,41.24028,0.051251316
SDSS6699,0.30915,41.434406,0.122358,41.25772,0.17668542,41.25772,0.17668542
SDSS5844,0.30929,41.371822,0.120483,41.258863,0.1129596,41.258863,0.1129596
SDSS16211,0.30933,41.142184,0.137464,41.259189,-0.11700458,41.259189,-0.11700458
SDSS21042,0.31065,41.149718,0.124489,41.269936,-0.12021821,41.269936,-0.12021821
SDSS15383,0.31088,41.295414,0.12279,41.271804,0.023609783,41.271804,0.023609783
SDSS6649,0.31288,41.26929,0.118305,41.287997,-0.018707509,41.287997,-0.018707509
SDSS20142,0.31468,40.992182,0.118861,41.302491,-0.31030849,41.302491,-0.31030849
SDSS15776,0.31646,41.280872,0.121555,41.316748,-0.035875797,41.316748,-0.035875797
SDSS18617,0.32038,41.340257,0.12816,41.34789,-0.0076335288,41.34789,-0.0076335288
SDSS7475,0.32045,41.458813,0.117246,41.348443,0.11037002,41.348443,0.11037002
05D2ab,0.324532,41.395653,0.086121,41.380497,0.015156059,41.380497,0.015156059
SDSS6924,0.3264,41.298415,0.11903,41.395043,-0.096627995,41.395043,-0.096627995
SDSS13830,0.32837,41.167032,0.134054,41.410301,-0.24326893,41.410301,-0.24326893
SDSS14456,0.32837,41.208462,0.124052,41.410301,-0.20183891,41.410301,-0.20183891
SDSS13934,0.32838,41.702025,0.136536,41.410378,0.29164731,41.410378,0.29164731
SDSS4241,0.33051,41.471577,0.12568,41.42678,0.044796921,41.42678,0.044796921
03D1fc,0.330932,41.306956,0.086437,41.430018,-0.12306253,41.430018,-0.12306253
SDSS4679,0.33103,41.24344,0.136212,41.43077,-0.18732999,41.43077,-0.18732999
SDSS20106,0.33136,41.562937,0.135299,41.433299,0.12963785,41.433299,0.12963785
SDSS16093,0.33436,41.503389,0.132618,41.456184,0.047204897,41.456184,0.047204897
04D3kr,0.337534,41.496434,0.086047,41.480192,0.016242055,41.480192,0.016242055
SDSS2533,0.3388,41.557603,0.129777,41.489711,0.067891558,41.489711,0.067891558
04D3nh,0.34052,41.534687,0.0859,41.502591,0.032096299,41.502591,0.032096299
03D1bp,0.345928,41.662223,0.087263,41.542704,0.11951905,41.542704,0.11951905
05D2ie,0.349557,41.747986,0.086821,41.5693,0.17868596,41.5693,0.17868596
04D2mc,0.34956,41.29619,0.089792,41.569322,-0.27313224,41.569322,-0.27313224
05D2hc,0.35156,41.7744,0.086351,41.583872,0.19052839,41.583872,0.19052839
SDSS19067,0.35346,41.352015,0.125157,41.597624,-0.24560917,41.597624,-0.24560917
05D2mp,0.355261,41.823388,0.088265,41.610597,0.21279099,41.610597,0.21279099
03D3bl,0.35582,41.599703,0.087008,41.614612,-0.01490857,41.614612,-0.01490857
04D3fk,0.358336,41.516078,0.086303,41.632609,-0.11653095,41.632609,-0.11653095
04D2fs,0.35857,41.550569,0.086485,41.634277,-0.083708157,41.634277,-0.083708157
SDSS4577,0.36193,41.635021,0.13291,41.658118,-0.023097133,41.658118,-0.023097133
SDSS15704,0.36397,41.88393,0.127982,41.672494,0.21143677,41.672494,0.21143677
SDSS13136,0.36441,42.006672,0.131873,41.675585,0.33108757,41.675585,0.33108757
SDSS16232,0.36554,41.761412,0.137024,41.683507,0.077904699,41.683507,0.077904699
04D1hd,0.367904,41.852504,0.086082,41.700009,0.15249453,41.700009,0.15249453
SDSS14397,0.36941,42.027675,0.131466,41.710471,0.31720315,41.710471,0.31720315
SDSS18091,0.37013,41.708319,0.138604,41.715459,-0.0071402784,41.715459,-0.0071402784
05D4bm,0.370511,41.752199,0.086476,41.718095,0.034103642,41.718095,0.034103642
05D3jr,0.370531,41.652391,0.086626,41.718234,-0.065842996,41.718234,-0.065842996
04D2cf,0.370586,41.685773,0.095747,41.718614,-0.032841279,41.718614,-0.032841279
03D3ay,0.371443,41.821628,0.091326,41.724533,0.097095709,41.724533,0.097095709
05D4fo,0.371508,41.799502,0.086225,41.724981,0.0745213,41.724981,0.0745213
05D4cw,0.373513,41.728807,0.086768,41.738778,-0.009970643,41.738778,-0.009970643
SDSS15756,0.37835,42.362885,0.135103,41.771784,0.59110184,41.771784,0.59110184
SDSS7779,0.37986,41.724823,0.118539,41.782008,-0.057185392,41.782008,-0.057185392
SDSS11206,0.38026,41.92599,0.138121,41.78471,0.14127971,41.78471,0.14127971
SDSS15456,0.38047,41.391847,0.12548,41.786128,-0.39428061,41.786128,-0.39428061
SDSS18721,0.39135,41.834601,0.148848,41.858609,-0.024008046,41.858609,-0.024008046
05D4ff,0.400485,41.800259,0.087548,41.918051,-0.11779145,41.918051,-0.11779145
SDSS19757,0.40128,41.640447,0.134806,41.923165,-0.28271736,41.923165,-0.28271736
06D3ed,0.404549,42.062807,0.086483,41.944096,0.11871106,41.944096,0.11871106
