Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_LambdaCDM,residual_LambdaCDM
SDSS15219,0.24695,40.564021,0.114812,40.440992,0.12302912,40.440992,0.12302912
SDSS15161,0.2485,40.380443,0.117491,40.456445,-0.076002264,40.456445,-0.076002264
SDSS3451,0.24851,40.265104,0.116195,40.456545,-0.19144071,40.456545,-0.19144071
SDSS16213,0.24857,40.517738,0.115731,40.457141,0.060597429,40.457141,0.060597429
SDSS17552,0.24862,40.526949,0.11712,40.457638,0.069311062,40.457638,0.069311062
SDSS15504,0.24947,40.594727,0.131353,40.466071,0.12865631,40.466071,0.12865631
SDSS3199,0.24961,40.809913,0.118164,40.467457,0.34245576,40.467457,0.34245576
SDSS16106,0.24973,40.447835,0.120462,40.468645,-0.020810418,40.468645,-0.020810418
SDSS13689,0.25012,40.639639,0.116581,40.472502,0.16713695,40.472502,0.16713695
SDSS5717,0.25037,40.680298,0.115791,40.474971,0.20532651,40.474971,0.20532651
06D3gn,0.250498,40.482986,0.086012,40.476235,0.0067509703,40.476235,0.0067509703
SDSS13655,0.25104,40.541741,0.119872,40.481578,0.060162778,40.481578,0.060162778
SDSS5736,0.25174,40.452095,0.115824,40.488463,-0.03636803,40.488463,-0.03636803
SDSS15440,0.25205,40.344868,0.11822,40.491507,-0.14663903,40.491507,-0.14663903
SDSS9032,0.25249,40.47259,0.126796,40.495821,-0.023231272,40.495821,-0.023231272
SDSS14481,0.25351,40.821218,0.123692,40.505795,0.31542306,40.505795,0.31542306
SDSS18325,0.25356,40.55491,0.120869,40.506283,0.048626687,40.506283,0.048626687
SDSS9457,0.25539,40.496854,0.130119,40.524083,-0.027229191,40.524083,-0.027229191
SDSS1112,0.25611,40.583198,0.12482,40.531054,0.05214374,40.531054,0.05214374
SDSS17340,0.25617,40.378298,0.119755,40.531635,-0.15333659,40.531635,-0.15333659
SDSS12972,0.25655,40.62415,0.12587,40.535306,0.088844648,40.535306,0.088844648
SDSS19207,0.25721,40.552203,0.121726,40.54167,0.010533124,40.54167,0.010533124
SDSS6108,0.258,40.529043,0.117106,40.549268,-0.020225462,40.549268,-0.020225462
SDSS8046,0.25833,40.578072,0.119891,40.552436,0.025635947,40.552436,0.025635947
SDSS2017,0.26014,40.875812,0.122802,40.569744,0.30606812,40.569744,0.30606812
SDSS1253,0.26059,40.501317,0.120435,40.57403,-0.072713761,40.57403,-0.072713761
SDSS14298,0.2607,40.745154,0.117389,40.575077,0.17007742,40.575077,0.17007742
05D1hk,0.261984,40.466483,0.08739,40.587264,-0.120781,40.587264,-0.120781
04D3ez,0.263487,40.479682,0.08555,40.601461,-0.12177937,40.601461,-0.12177937
SDSS2422,0.26349,40.870308,0.115945,40.601489,0.26881841,40.601489,0.26881841
SDSS20345,0.26357,40.422532,0.11624,40.602243,-0.17971057,40.602243,-0.17971057
SDSS2943,0.26405,40.585497,0.117962,40.60676,-0.021263327,40.60676,-0.021263327
SDSS13099,0.26451,40.702204,0.119638,40.611082,0.091122783,40.611082,0.091122783
