Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_Fixed-Size_Filament_Contraction_Model_(USMF)_Version_5,residual_Fixed-Size_Filament_Contraction_Model_(USMF)_Version_5
05D4fg,0.837004,44.018206,0.100539,43.868151,0.15005421,43.863855,0.1543503
04D2al,0.838126,43.734229,0.113632,43.871765,-0.13753532,43.867458,-0.13322892
Elvis,0.839734,43.711872,0.112754,43.876934,-0.16506235,43.872614,-0.16074155
05D4hn,0.840005,43.446447,0.103903,43.877805,-0.43135793,43.873482,-0.42703475
05D1az,0.840522,43.855269,0.101288,43.879464,-0.024194874,43.875137,-0.019867187
06D2ga,0.842123,43.94378,0.112024,43.884598,0.059182119,43.880256,0.063523467
06D4ce,0.847985,44.080784,0.110575,43.903312,0.17747144,43.898925,0.18185891
04D1hy,0.848509,43.924633,0.10052,43.904979,0.019653729,43.900588,0.024045018
05D3kp,0.850729,44.067234,0.098855,43.912029,0.15520465,43.907622,0.15961156
05D4dw,0.852994,43.804525,0.101921,43.919204,-0.11467941,43.914782,-0.11025749
05D1er,0.858507,43.747093,0.106173,43.936591,-0.18949833,43.932137,-0.18504389
04D1ff,0.858513,43.501937,0.101579,43.93661,-0.4346729,43.932156,-0.43021843
05D1iz,0.858516,44.31285,0.11645,43.93662,0.37623073,43.932165,0.38068522
04D4ii,0.863978,43.906142,0.1039,43.953739,-0.047596905,43.949258,-0.043115923
05D1em,0.864497,44.048877,0.102986,43.95536,0.093517011,43.950877,0.098000209
03D1ew,0.866494,43.902509,0.106037,43.96159,-0.059080487,43.957098,-0.054589251
05D2nn,0.872152,44.231164,0.119167,43.979163,0.25200094,43.974654,0.25651067
04D4bk,0.877971,44.221949,0.103099,43.997122,0.22482724,43.9926,0.22934928
05D3cq,0.890729,44.06375,0.103551,44.036094,0.027655619,44.031569,0.032180144
05D2by,0.893183,44.147398,0.106138,44.043528,0.1038704,44.039007,0.10839146
03D4di,0.896944,44.097911,0.109618,44.054882,0.043028263,44.050369,0.047541485
05D3ht,0.901736,44.313219,0.111342,44.069283,0.24393628,44.064784,0.24843505
04D3gx,0.910752,44.343432,0.112202,44.096175,0.24725666,44.091717,0.25171447
04D1ow,0.913473,44.136085,0.104751,44.10424,0.031845022,44.099798,0.036286882
05D2bw,0.92221,44.065799,0.117626,44.129979,-0.064179325,44.125599,-0.059800115
05D2ay,0.922221,43.82013,0.117413,44.130011,-0.30988054,44.125632,-0.30550142
03D4cy,0.924917,44.305059,0.125384,44.137905,0.1671542,44.133549,0.17151042
05D2ob,0.92622,44.095907,0.111056,44.141712,-0.045804932,44.137368,-0.041460386
04D4jy,0.927909,44.425781,0.121275,44.146639,0.27914208,44.14231,0.2834709
04D4ih,0.931901,44.405891,0.111047,44.15825,0.24764095,44.153961,0.25192993
06D2cd,0.932229,44.039882,0.130385,44.159202,-0.11932027,44.154917,-0.11503473
04D4hf,0.9339,44.112115,0.126556,44.164046,-0.051930723,44.159779,-0.047663101
Vilas,0.935774,43.868539,0.119916,44.169469,-0.30092917,44.165222,-0.29668244
05D3la,0.936755,44.086896,0.108686,44.172303,-0.085407181,44.168067,-0.08117172
03D4cx,0.94689,43.571182,0.115036,44.201416,-0.63023417,44.197311,-0.6261287
04D1pd,0.948455,43.874948,0.112213,44.205884,-0.33093658,44.201801,-0.32685339
04D3ml,0.950763,44.48579,0.112327,44.212461,0.27332901,44.208412,0.27737822
04D4jw,0.958871,44.594812,0.125337,44.23544,0.35937158,44.231521,0.36329109
05D3km,0.96074,44.564697,0.112338,44.240711,0.3239865,44.236823,0.3278738
04D3nr,0.960751,43.831189,0.116274,44.240742,-0.40955246,44.236854,-0.40566536
Patuxent,0.970782,44.981973,0.118744,44.268855,0.71311791,44.265156,0.71681719
Ombo,0.97423,44.440738,0.118033,44.278453,0.16228528,44.274824,0.16591414
05D2my,0.98328,44.24164,0.114718,44.303486,-0.061846017,44.300056,-0.058416385
04D1rx,0.983407,44.45169,0.114131,44.303836,0.14785428,44.300409,0.15128097
04D3lp,0.983777,44.059273,0.14188,44.304854,-0.2455811,44.301436,-0.24216302
04D1iv,0.99639,44.502238,0.112483,44.339351,0.1628871,44.336247,0.1659908
06D4cl,0.997826,44.262545,0.115855,44.343251,-0.080706115,44.340185,-0.077640829
04D3dd,1.002795,44.48442,0.13731,44.356704,0.12771637,44.353776,0.1306446
Eagle,1.020807,44.629845,0.118836,44.404925,0.22492067,44.402548,0.22729768
04D4dw,1.0288,44.481966,0.1248,44.426055,0.055911023,44.42395,0.058015881
06D3en,1.060801,44.364937,0.132013,44.509056,-0.14411899,44.508212,-0.14327522
Gabi,1.12085,44.767999,0.121686,44.65831,0.10968834,44.660581,0.10741705
Lancaster,1.230892,45.06621,0.128558,44.912206,0.15400383,44.922707,0.14350255
Torngasek,1.265901,45.01046,0.128614,44.988222,0.02223794,45.002006,0.008454035
Aphrodite,1.299106,45.053559,0.128055,45.058389,-0.0048299431,45.07557,-0.022011498
