ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_LambdaCDM_tt,residual_LambdaCDM_tt,Dl_LambdaCDM_te,residual_LambdaCDM_te,Dl_LambdaCDM_ee,residual_LambdaCDM_ee
1954,231.313,-5.86213,-42.7334,238.124,-6.81095,-4.87782,-0.984309,12.9121,-55.6455,281.449,-50.1364,6.26918,-12.1313,11.1998,-53.9332
1971,229.279,-28.0519,51.929,227.607,1.67126,-8.977,-19.0749,13.1634,38.7656,258.505,-29.2262,3.93956,-31.9915,12.2364,39.6926
1988,225.825,-27.8392,5.28485,222.138,3.68692,-13.0261,-14.8131,13.0075,-7.72268,239.588,-13.7632,0.502274,-28.3415,13.0014,-7.7166
2005,240.086,,,221.284,18.802,-16.5629,,12.4512,,225.91,14.176,-3.63242,,13.3935,
2030,233.983,,,226.298,7.68404,-20.121,,11.0297,,215.983,17.9995,-10.059,,13.2151,
2063,216.247,,,237.038,-20.7915,-20.8037,,8.58659,,218.518,-2.27123,-16.7261,,11.7508,
2096,204.908,,,243.489,-38.5806,-17.0899,,6.25173,,231.699,-26.7902,-19.2817,,9.38187,
2129,200.092,,,238.353,-38.2606,-10.6126,,4.73962,,244.511,-44.4183,-16.9427,,6.92922,
2162,168.762,,,220.179,-51.4173,-3.94604,,4.35295,,247.737,-78.9754,-11.0378,,5.1535,
2195,140.144,,,192.439,-52.2947,0.718599,,4.95008,,236.765,-96.6207,-3.79111,,4.47278,
2228,129.223,,,161.952,-32.7291,2.08905,,6.0532,,212.514,-83.2904,2.16423,,4.89948,
2261,118.304,,,135.865,-17.5604,0.355125,,7.04536,,181.125,-62.8206,5.09244,,6.00035,
2294,118.51,,,118.71,-0.200095,-3.29454,,7.46025,,150.011,-31.5015,4.45055,,7.20713,
2327,115.407,,,111.588,3.81911,-7.10736,,7.08561,,126.258,-10.8505,1.01849,,7.93854,
2360,114.999,,,111.717,3.28169,-9.56374,,6.05876,,113.044,1.9551,-3.49884,,7.89377,
2393,126.918,,,114.7,12.218,-9.89755,,4.71628,,110.088,16.8298,-7.35874,,7.05695,
2426,90.007,,,115.839,-25.8317,-8.21877,,3.48558,,113.516,-23.509,-9.19077,,5.71228,
2459,83.9457,,,112.341,-28.3948,-5.4318,,2.68798,,118.126,-34.1801,-8.67265,,4.29288,
2492,78.7067,,,103.733,-25.026,-2.64829,,2.44925,,119.398,-40.691,-6.24414,,3.19316,
