Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_QRSF,residual_QRSF
SDSS15504,0.24947,40.594727,0.131353,40.518225,0.076502229,40.653894,-0.059166694
SDSS3199,0.24961,40.809913,0.118164,40.519611,0.29030252,40.655292,0.15462093
SDSS16106,0.24973,40.447835,0.120462,40.520798,-0.072962991,40.65649,-0.20865544
SDSS13689,0.25012,40.639639,0.116581,40.524652,0.11498669,40.66038,-0.020741075
SDSS5717,0.25037,40.680298,0.115791,40.52712,0.1531777,40.66287,0.017427297
06D3gn,0.250498,40.482986,0.086012,40.528383,-0.045397068,40.664145,-0.18115907
SDSS13655,0.25104,40.541741,0.119872,40.533723,0.0080178734,40.669534,-0.12779324
SDSS5736,0.25174,40.452095,0.115824,40.540604,-0.088508808,40.676479,-0.22438341
SDSS15440,0.25205,40.344868,0.11822,40.543646,-0.19877806,40.679549,-0.33468079
SDSS9032,0.25249,40.47259,0.126796,40.547958,-0.075367727,40.6839,-0.21131041
SDSS14481,0.25351,40.821218,0.123692,40.557926,0.26329263,40.693961,0.12725725
SDSS18325,0.25356,40.55491,0.120869,40.558414,-0.003503449,40.694453,-0.13954338
SDSS9457,0.25539,40.496854,0.130119,40.576203,-0.079348657,40.712409,-0.21555519
SDSS1112,0.25611,40.583198,0.12482,40.58317,2.8484915e-05,40.719442,-0.1362437
SDSS17340,0.25617,40.378298,0.119755,40.583749,-0.20545149,40.720027,-0.34172914
SDSS12972,0.25655,40.62415,0.12587,40.587418,0.03673196,40.723731,-0.099580369
SDSS19207,0.25721,40.552203,0.121726,40.593779,-0.041575755,40.730152,-0.17794834
SDSS6108,0.258,40.529043,0.117106,40.601373,-0.072329692,40.737817,-0.20877448
SDSS8046,0.25833,40.578072,0.119891,40.604538,-0.026466353,40.741013,-0.16294132
SDSS2017,0.26014,40.875812,0.122802,40.621836,0.25397638,40.758477,0.11733568
SDSS1253,0.26059,40.501317,0.120435,40.62612,-0.12480289,40.762801,-0.26148484
SDSS14298,0.2607,40.745154,0.117389,40.627166,0.11798889,40.763858,-0.018703142
