ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_QRSF_tt,residual_QRSF_tt,Dl_QRSF_te,residual_QRSF_te,Dl_QRSF_ee,residual_QRSF_ee
959,1285.75,33.7705,39.3482,1190.05,95.7024,22.7274,11.0431,42.7431,-3.3949,1230.4,55.35,33.2854,0.485095,41.3006,-1.95244
968,1232.84,20.9026,40.3395,1130.5,102.34,9.76447,11.1381,43.8987,-3.55912,1161.8,71.039,21.0193,-0.116658,42.7254,-2.38582
977,1129.03,9.81707,40.4442,1083.84,45.1896,-3.82374,13.6408,44.5409,-4.09668,1105.78,23.2503,7.84502,1.97205,43.6675,-3.22337
986,1103.57,-0.29649,38.6279,1050.05,53.5254,-17.5811,17.2846,44.6543,-6.02639,1062.63,40.9465,-5.7897,5.49321,44.1011,-5.47322
995,1087.32,-14.7591,42.2792,1028.75,58.5706,-31.0707,16.3117,44.2369,-1.95772,1032.28,55.0405,-19.4566,4.69756,44.0133,-1.73416
1004,1024.83,-37.3546,40.1553,1019.24,5.58404,-43.8385,6.48385,43.2987,-3.14338,1014.34,10.483,-32.7093,-4.64536,43.4036,-3.24825
1013,1079.48,-45.221,46.1332,1020.29,59.1947,-55.443,10.222,41.8731,4.26014,1007.81,71.6683,-45.0903,-0.130786,42.295,3.83818
1022,1032.41,-48.6768,42.9829,1030.7,1.70249,-65.6242,16.9474,40.0203,2.96259,1011.66,20.7469,-56.2956,7.61877,40.7384,2.24447
1031,1040.79,-54.6481,39.2361,1048.88,-8.08535,-74.0556,19.4075,37.7907,1.44537,1024.41,16.3815,-65.9537,11.3056,38.7746,0.461551
1040,1055.91,-59.1628,36.5526,1073.12,-17.213,-80.5729,21.4101,35.269,1.28361,1044.52,11.3835,-73.8548,14.692,36.4784,0.0741328
1049,1081.98,-73.5188,35.8932,1101.37,-19.3966,-84.978,11.4593,32.5354,3.35781,1070.09,11.8919,-79.7558,6.237,33.921,1.97225
