ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_USMFv4_tt,residual_USMFv4_tt,Dl_USMFv4_te,residual_USMFv4_te,Dl_USMFv4_ee,residual_USMFv4_ee
995,1087.32,-14.7591,42.2792,1030.41,56.9062,-12.3781,-2.38095,43.5796,-1.30042,2544.86,-1457.55,-59.9748,45.2157,16.0278,26.2514
1004,1024.83,-37.3546,40.1553,1007.98,16.8465,-25.8536,-11.501,43.0858,-2.93048,2490.89,-1466.07,-43.7639,6.40929,16.0512,24.1041
1013,1079.48,-45.221,46.1332,997.46,82.0211,-38.5855,-6.63558,42.0945,4.03873,2426.38,-1346.9,-28.5569,-16.6642,16.6577,29.4755
1022,1032.41,-48.6768,42.9829,997.893,34.5129,-50.2508,1.57397,40.6525,2.33037,2353.36,-1320.95,-14.5908,-34.086,17.7865,25.1964
1031,1040.79,-54.6481,39.2361,1007.87,32.9203,-60.4585,5.81047,38.7969,0.439223,2273.48,-1232.69,-2.02517,-52.6229,19.3625,19.8736
1040,1055.91,-59.1628,36.5526,1025.92,29.9897,-68.9795,9.81672,36.5987,-0.0461627,2188.35,-1132.44,8.81874,-67.9816,21.3444,15.2081
1049,1081.98,-73.5188,35.8932,1050.18,31.7956,-75.551,2.03226,34.1251,1.76809,2099.18,-1017.2,17.6532,-91.172,23.6872,12.2061
1058,1129.81,-82.3317,37.0442,1078.94,50.8696,-80.065,-2.26677,31.4493,5.59493,2007.34,-877.534,24.1197,-106.451,26.3445,10.6997
1067,1122.39,-80.9655,28.6378,1110.24,12.1466,-82.4545,1.48908,28.6705,-0.0327375,1914.16,-791.764,28.2867,-109.252,29.2566,-0.618815
1076,1153.29,-78.7501,25.1823,1142.25,11.0361,-82.7239,3.97381,25.8691,-0.686816,1821.07,-667.784,30.315,-109.065,32.3307,-7.14838
1085,1217.71,-73.3497,20.9454,1173.15,44.5627,-80.9531,7.60343,23.1333,-2.18788,1729.59,-511.878,30.2897,-103.639,35.4819,-14.5365
1094,1216.98,-76.2582,25.9907,1201.25,15.7244,-77.274,1.01578,20.5441,5.44662,1641.33,-424.353,28.2437,-104.502,38.6183,-12.6276
1103,1211.44,-56.3317,16.4541,1225.12,-13.685,-71.8943,15.5626,18.1794,-1.72532,1558.14,-346.708,24.1374,-80.4691,41.6452,-25.1911
1112,1213.36,-55.9813,15.7459,1243.55,-30.1904,-65.0671,9.08573,16.1058,-0.359969,1481.26,-267.896,18.0596,-74.041,44.4878,-28.7419
