ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_QRSFv2_tt,residual_QRSFv2_tt,Dl_QRSFv2_te,residual_QRSFv2_te,Dl_QRSFv2_ee,residual_QRSFv2_ee
509,2577.77,-47.175,8.22746,2453.33,124.447,-47.0308,-0.144242,6.90708,1.32038,3496.69,-918.917,41.4673,-88.6423,56.1082,-47.8807
518,2558.51,-42.4169,7.35097,2495.32,63.1933,-36.5703,-5.84667,6.49077,0.860201,3367.67,-809.154,7.52084,-49.9378,55.9328,-48.5818
527,2579.22,-23.0411,6.50428,2519.44,59.7742,-25.4619,2.42078,6.45695,0.0473334,3284.13,-704.918,-25.4268,2.38571,55.3342,-48.8299
536,2523.98,-18.6287,6.71246,2525.2,-1.21999,-14.2296,-4.39914,6.83148,-0.119015,3242.96,-718.983,-56.7677,38.139,54.3256,-47.6131
545,2519.15,-1.43395,8.58876,2513,6.14506,-3.42045,1.9865,7.62562,0.963141,3241.93,-722.779,-85.917,84.483,52.9051,-44.3164
554,2566.59,3.55431,8.51755,2483.96,82.6232,6.44734,-2.89302,8.8349,-0.317351,3279.42,-712.833,-112.27,115.824,51.0575,-42.54
563,2545.99,11.5793,10.6431,2439.9,106.099,14.8896,-3.31027,10.4388,0.204304,3351.93,-805.937,-135.453,147.032,48.8111,-38.168
572,2409.8,18.6254,11.8913,2382.89,26.9163,21.4812,-2.85581,12.4025,-0.511164,3453.22,-1043.42,-155.343,173.968,46.2489,-34.3576
581,2410.13,26.5374,15.4975,2315.51,94.6168,25.8875,0.649942,14.6755,0.821929,3577.36,-1167.23,-171.741,198.279,43.4423,-27.9448
590,2373.46,26.8724,15.2827,2241.16,132.303,27.8562,-0.983818,17.1946,-1.91191,3719.24,-1345.78,-184.37,211.242,40.4496,-25.1669
599,2206.46,28.2947,18.225,2163.19,43.2694,27.2167,1.07792,19.8848,-1.65977,3873.74,-1667.27,-192.866,221.161,37.3178,-19.0928
608,2119.7,32.2515,22.1034,2084.94,34.7567,23.9058,8.34569,22.6626,-0.559176,4035.8,-1916.1,-196.883,229.134,34.0896,-11.9862
617,2135.45,23.9273,25.8934,2009.63,125.82,17.9623,5.965,25.4404,0.452993,4201,-2065.54,-196.65,220.577,30.8293,-4.93592
626,1951.2,10.8452,25.9867,1940.44,10.7531,9.53955,1.30567,28.1321,-2.14541,4365.1,-2413.91,-192.521,203.366,27.6116,-1.6249
635,1938.19,7.54114,30.1719,1880.2,57.983,-1.11915,8.66028,30.6503,-0.478421,4523.54,-2585.35,-184.757,192.298,24.5098,5.66206
644,1859.9,-5.033,32.9222,1831.3,28.5977,-13.6823,8.64935,32.9108,0.0113141,4671.28,-2811.38,-173.532,168.499,21.6006,11.3215
653,1847.08,-15.3753,32.8238,1795.62,51.4672,-27.7326,12.3573,34.8348,-2.01108,4802.84,-2955.76,-158.939,143.563,18.9652,13.8585
662,1848.18,-29.9359,34.7378,1774.56,73.6251,-42.7955,12.8595,36.362,-1.62417,4914.53,-3066.35,-141.224,111.288,16.6657,18.0721
671,1814.96,-56.9826,36.3808,1768.9,46.0587,-58.3665,1.38387,37.4423,-1.06147,5005.55,-3190.59,-120.935,63.9519,14.7158,21.665
680,1760.56,-66.7884,36.6042,1778.8,-18.2328,-73.9167,7.12832,38.0402,-1.43601,5074.79,-3314.23,-98.6206,31.8323,13.1388,23.4654
689,1822.41,-80.806,38.1163,1803.72,18.6854,-88.8964,8.09043,38.1321,-0.0157148,5120.45,-3298.05,-74.8122,-5.99379,11.9696,26.1468
698,1884.92,-94.2074,38.9399,1842.63,42.2805,-102.783,8.57591,37.723,1.21695,5140.23,-3255.31,-50.0662,-44.1412,11.2721,27.6678
707,1891,-99.954,36.5131,1893.83,-2.83502,-115.071,15.1173,36.8292,-0.316113,5131.59,-3240.6,-24.9305,-75.0235,11.1093,25.4038
716,1908.77,-113.946,36.4293,1955.23,-46.4649,-125.323,11.3773,35.4855,0.943823,5095.19,-3186.42,0.181233,-114.127,11.4675,24.9618
725,1994.29,-122.488,33.4393,2024.37,-30.0808,-133.159,10.6704,33.7381,-0.298821,5032.96,-3038.67,24.8949,-147.383,12.2992,21.14
734,2050.06,-127.683,32.2593,2098.79,-48.7337,-138.316,10.6324,31.6561,0.603166,4946.89,-2896.83,48.7195,-176.403,13.5795,18.6798
743,2184.75,-130.614,27.6853,2175.52,9.23345,-140.581,9.96714,29.3154,-1.63006,4838.42,-2653.67,71.1143,-201.728,15.29,12.3953
752,2260,-131.217,27.3087,2251.24,8.75993,-139.844,8.62671,26.8058,0.502905,4708.67,-2448.67,91.4376,-222.655,17.4266,9.88212
761,2344.61,-126.704,24.6929,2322.95,21.6517,-136.112,9.40817,24.2198,0.473084,4559.41,-2214.8,109.183,-235.887,19.9676,4.72532
770,2348.38,-117.03,21.1035,2388.12,-39.7424,-129.477,12.4469,21.6535,-0.550023,4393.62,-2045.24,124.293,-241.323,22.8535,-1.74997
779,2350.93,-109.053,19.3843,2443.74,-92.808,-120.109,11.0559,19.2018,0.182516,4213.89,-1862.96,136.696,-245.749,26.0183,-6.63399
788,2481.01,-104.286,19.3659,2487.99,-6.97396,-108.33,4.04487,16.9563,2.40959,4024.02,-1543.01,146.17,-250.456,29.3929,-10.027
