Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_CPCfRGravityCosmology,residual_CPCfRGravityCosmology
SDSS3901,0.062818,37.129647,0.112357,37.217192,-0.087545361,37.221966,-0.09231912
sn2007ae,0.062961,37.139126,0.140212,37.222355,-0.083228567,37.227129,-0.088002896
sn1992bs,0.063345,37.416847,0.141293,37.236162,0.18068507,37.240938,0.17590922
SDSS10028,0.064229,37.197295,0.112975,37.267646,-0.070350942,37.272426,-0.075130288
sn2006an,0.065193,37.374426,0.139912,37.301509,0.072917103,37.306292,0.068133971
SDSS6057,0.06651,37.294806,0.112612,37.347003,-0.05219745,37.351791,-0.056985715
sn2006al,0.069122,37.617081,0.145157,37.434733,0.18234837,37.439531,0.17755006
sn2006on,0.069751,37.294725,0.111409,37.455385,-0.16066001,37.460186,-0.16546071
sn1993b,0.070153,37.383197,0.146379,37.46849,-0.085293601,37.473293,-0.090095823
SDSS17240,0.07153,37.392019,0.157968,37.512844,-0.12082473,37.517651,-0.12563214
SDSS17880,0.07195,37.342194,0.112772,37.52621,-0.18401526,37.531019,-0.18882424
sn1992ae,0.074579,37.484462,0.141947,37.608217,-0.123755,37.613036,-0.12857372
sn2005ir,0.07487,37.600639,0.110074,37.617124,-0.01648485,37.621943,-0.021304628
SDSS19155,0.07592,37.770136,0.112389,37.64899,0.12114602,37.653813,0.11632242
sn1999bp,0.078317,37.726108,0.138307,37.720187,0.0059205549,37.72502,0.0010883143
SDSS17186,0.07849,38.035737,0.113854,37.725245,0.31049133,37.730078,0.30565847
sn1992bp,0.07884,37.541851,0.138584,37.735446,-0.19359443,37.74028,-0.19842854
SDSS12779,0.07891,37.822083,0.117766,37.737481,0.084602537,37.742315,0.079768184
SDSS12898,0.07997,37.842822,0.112109,37.768086,0.074735664,37.772924,0.069897557
sn2005ag,0.080103,37.667141,0.136253,37.771899,-0.10475807,37.776737,-0.10959665
SDSS12950,0.08133,37.935407,0.111814,37.806793,0.12861406,37.811636,0.12377118
SDSS12781,0.08304,38.065672,0.115125,37.854596,0.21107692,37.859444,0.20622811
SDSS722,0.08522,37.970228,0.128423,37.914198,0.056030353,37.919054,0.051174077
SDSS3592,0.08528,37.928381,0.111932,37.915817,0.012563532,37.920674,0.0077070525
SDSS21502,0.08784,37.989534,0.112907,37.983942,0.0055923162,37.988807,0.00072723697
SDSS1241,0.08889,37.936103,0.11251,38.011339,-0.075236628,38.016208,-0.080105187
SDSS19899,0.09007,38.021375,0.111899,38.041765,-0.020389931,38.046638,-0.025262367
SDSS17258,0.0901,37.828996,0.124187,38.042534,-0.2135375,38.047406,-0.21841003
SDSS774,0.09243,38.160297,0.122156,38.1015,0.058797074,38.10638,0.05391699
SDSS18241,0.09391,38.333255,0.11374,38.138228,0.19502742,38.143112,0.19014262
SDSS2102,0.09401,38.212454,0.112725,38.140689,0.071764355,38.145575,0.066879229
SDSS16185,0.09582,38.280928,0.112716,38.184824,0.096103846,38.189715,0.09121302
SDSS13038,0.10264,38.528458,0.113322,38.344332,0.18412577,38.349243,0.1792142
SDSS10434,0.10289,38.47728,0.114221,38.349987,0.12729351,38.354899,0.1223812
SDSS13135,0.10337,38.400372,0.111598,38.360808,0.039563795,38.365722,0.034650071
SDSS20064,0.10391,38.25769,0.112416,38.372925,-0.11523471,38.37784,-0.12015001
SDSS14816,0.10589,38.259627,0.112285,38.416853,-0.15722629,38.421774,-0.16214735
SDSS18697,0.10602,38.388928,0.111682,38.41971,-0.030782194,38.424631,-0.035703622
SDSS20625,0.10667,38.529439,0.112607,38.433945,0.095493169,38.438869,0.090569878
SDSS18375,0.10725,38.205555,0.111743,38.446579,-0.24102403,38.451504,-0.24594897
SDSS21034,0.10751,38.544067,0.112402,38.452222,0.09184571,38.457147,0.086920026
SDSS7147,0.10924,38.548224,0.112096,38.489442,0.058782239,38.494372,0.05385168
SDSS18650,0.11271,38.715163,0.112009,38.562455,0.15270812,38.567395,0.147768
SDSS11067,0.11304,38.632945,0.112246,38.569288,0.063657316,38.574229,0.058716304
SDSS18612,0.11368,38.434426,0.111953,38.582486,-0.14806026,38.587429,-0.153003
SDSS16641,0.11389,38.794576,0.113093,38.586802,0.20777384,38.591745,0.20283054
SDSS16619,0.11402,38.462485,0.11346,38.58947,-0.12698439,38.594413,-0.13192804
SDSS5395,0.11635,38.729957,0.111949,38.636807,0.0931494,38.641757,0.088199566
SDSS8719,0.11651,38.672468,0.113022,38.640025,0.032442689,38.644975,0.027492435
SDSS2561,0.11741,38.700061,0.112518,38.658049,0.042012327,38.663001,0.037059723
SDSS19953,0.11767,38.741727,0.111671,38.663232,0.078495884,38.668185,0.073542605
SDSS16259,0.11771,38.640093,0.113079,38.664028,-0.02393535,38.668981,-0.028888733
SDSS1371,0.11771,38.527971,0.11196,38.664028,-0.13605643,38.668981,-0.14100981
SDSS14871,0.11845,38.812895,0.111824,38.678715,0.13417999,38.683671,0.1292247
SDSS18298,0.11863,38.416553,0.127194,38.682275,-0.26572184,38.687231,-0.2706776
SDSS13894,0.11966,38.95985,0.113363,38.702547,0.25730284,38.707505,0.25234444
SDSS13044,0.11967,38.837411,0.112171,38.702743,0.13466834,38.707701,0.12970992
SDSS5549,0.11967,38.717946,0.111976,38.702743,0.015203475,38.707701,0.010245055
SDSS12860,0.12044,38.780122,0.113463,38.71779,0.062332628,38.72275,0.057372253
SDSS19543,0.12164,38.946145,0.112462,38.741061,0.20508453,38.746024,0.20012113
SDSS18835,0.12262,38.707357,0.11183,38.759906,-0.05254939,38.764872,-0.057515221
SDSS16021,0.12276,38.737216,0.112478,38.762587,-0.025370165,38.767553,-0.030336343
SDSS21669,0.12281,38.662602,0.129766,38.763543,-0.10094112,38.76851,-0.10590742
SDSS2916,0.12303,38.721556,0.119632,38.767748,-0.04619237,38.772715,-0.051159215
SDSS6406,0.12376,38.686488,0.111795,38.781651,-0.095163307,38.78662,-0.10013195
SDSS20470,0.1244,38.959303,0.113068,38.793777,0.16552541,38.798747,0.1605552
06D2fb,0.125298,38.812432,0.085713,38.810693,0.0017392109,38.815666,-0.0032331706
SDSS13005,0.12593,38.931494,0.157613,38.822531,0.10896297,38.827505,0.10398907
SDSS2992,0.12608,38.626104,0.113495,38.825332,-0.19922817,38.830306,-0.20420243
SDSS744,0.12649,38.834716,0.118731,38.832973,0.0017430112,38.837948,-0.0032322316
SDSS18855,0.12715,38.872201,0.111895,38.845225,0.026976189,38.850201,0.021999375
SDSS16069,0.12739,38.792596,0.113191,38.849665,-0.057069361,38.854643,-0.062046742
SDSS18809,0.12837,38.870821,0.112485,38.867716,0.0031053303,38.872696,-0.0018743585
SDSS22075,0.12893,38.840284,0.113756,38.877973,-0.037688956,38.882954,-0.042669954
SDSS1032,0.12903,38.873791,0.115931,38.8798,-0.0060093043,38.884781,-0.010990534
SDSS5751,0.12953,38.807645,0.112137,38.888917,-0.081271728,38.893899,-0.086254119
SDSS20084,0.12961,39.141727,0.113865,38.890372,0.25135459,38.895355,0.24637201
SDSS18415,0.12961,38.956012,0.113841,38.890372,0.065640214,38.895355,0.060657638
SDSS17280,0.13045,39.199031,0.147057,38.905605,0.29342585,38.910589,0.28844133
SDSS14108,0.13243,39.234972,0.112393,38.941151,0.29382121,38.94614,0.2888322
SDSS18602,0.13362,39.077669,0.113865,38.962276,0.11539286,38.967268,0.11040119
SDSS15508,0.13392,38.966034,0.111798,38.967574,-0.0015402859,38.972567,-0.0065326217
SDSS15234,0.13508,39.242322,0.113196,38.987956,0.25436577,38.992951,0.24937088
SDSS17629,0.13588,38.873391,0.113673,39.001917,-0.1285263,39.006914,-0.13352293
SDSS19775,0.13668,38.995995,0.113428,39.015802,-0.019807129,39.020801,-0.024805491
SDSS17366,0.13811,38.981395,0.112284,39.040434,-0.059038302,39.045435,-0.064039718
SDSS15171,0.13818,39.048423,0.11186,39.041633,0.0067899018,39.046635,0.0017883379
SDSS17208,0.13864,39.36218,0.119461,39.049502,0.31267703,39.054505,0.30767449
SDSS12928,0.13868,39.066861,0.116765,39.050186,0.016675104,39.055188,0.011672484
SDSS1794,0.14139,39.200636,0.113002,39.096045,0.104591,39.101053,0.099582759
SDSS14437,0.14265,39.13653,0.112226,39.117088,0.019442046,39.122099,0.014431242
SDSS2635,0.1431,39.139085,0.112072,39.124562,0.01452335,39.129573,0.0095116415
SDSS13796,0.1436,39.058163,0.111766,39.13284,-0.074676788,39.137853,-0.079689498
SDSS17497,0.14382,39.107025,0.111949,39.136474,-0.029448946,39.141487,-0.034462094
SDSS8921,0.14401,39.137892,0.114616,39.139608,-0.0017165224,39.144622,-0.006730048
SDSS16073,0.14468,39.430541,0.112388,39.15063,0.27991153,39.155645,0.27489668
SDSS14024,0.14478,39.128046,0.114439,39.152271,-0.024225089,39.157286,-0.029240137
SDSS17605,0.14533,39.165471,0.119235,39.161277,0.0041933088,39.166293,-0.00082281909
SDSS11300,0.14547,38.873755,0.113737,39.163565,-0.28980952,39.168581,-0.29482592
SDSS21062,0.14564,39.482628,0.114307,39.16634,0.31628789,39.171356,0.31127116
SDSS19940,0.14582,39.01236,0.112189,39.169275,-0.15691431,39.174292,-0.16193139
SDSS12930,0.14607,39.310932,0.117074,39.173345,0.13758691,39.178363,0.13256934
SDSS2308,0.148,39.305036,0.111944,39.204554,0.10048184,39.209575,0.095460562
SDSS21510,0.14839,39.153355,0.11378,39.210814,-0.057458653,39.215836,-0.062480664
SDSS16116,0.1486,39.394763,0.112448,39.214179,0.18058436,39.219201,0.17556195
