Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_QuantumAttractorUnifiedCosmology,residual_QuantumAttractorUnifiedCosmology
SDSS17240,0.07153,37.392019,0.157968,37.513406,-0.12138679,37.535885,-0.14386578
SDSS17880,0.07195,37.342194,0.112772,37.526771,-0.18457682,37.549278,-0.20708336
sn1992ae,0.074579,37.484462,0.141947,37.608775,-0.12431341,37.631403,-0.14694086
sn2005ir,0.07487,37.600639,0.110074,37.617682,-0.017042907,37.640317,-0.039678205
SDSS19155,0.07592,37.770136,0.112389,37.649547,0.12058922,37.672202,0.097933552
sn1999bp,0.078317,37.726108,0.138307,37.720741,0.0053666223,37.743393,-0.017284898
SDSS17186,0.07849,38.035737,0.113854,37.725799,0.3099376,37.748448,0.28728893
sn1992bp,0.07884,37.541851,0.138584,37.735999,-0.19414774,37.758641,-0.21678937
SDSS12779,0.07891,37.822083,0.117766,37.738034,0.084049314,37.760674,0.061409195
SDSS12898,0.07997,37.842822,0.112109,37.768638,0.074183709,37.791248,0.051574067
sn2005ag,0.080103,37.667141,0.136253,37.772451,-0.10530987,37.795055,-0.12791463
SDSS12950,0.08133,37.935407,0.111814,37.807343,0.12806373,37.829895,0.10551195
SDSS12781,0.08304,38.065672,0.115125,37.855144,0.21052864,37.877594,0.18807833
SDSS722,0.08522,37.970228,0.128423,37.914743,0.055484677,37.937019,0.033208828
SDSS3592,0.08528,37.928381,0.111932,37.916363,0.012017928,37.938633,-0.010252318
SDSS21502,0.08784,37.989534,0.112907,37.984484,0.0050497727,38.006486,-0.016952554
SDSS1241,0.08889,37.936103,0.11251,38.011881,-0.075777915,38.033754,-0.09765164
SDSS19899,0.09007,38.021375,0.111899,38.042305,-0.020929809,38.064022,-0.042647029
SDSS17258,0.0901,37.828996,0.124187,38.043074,-0.21407734,38.064787,-0.23579036
SDSS774,0.09243,38.160297,0.122156,38.102037,0.058260018,38.123403,0.036894111
SDSS18241,0.09391,38.333255,0.11374,38.138763,0.19449214,38.159884,0.17337105
SDSS2102,0.09401,38.212454,0.112725,38.141225,0.071229186,38.162328,0.050125353
SDSS16185,0.09582,38.280928,0.112716,38.185357,0.095570839,38.206135,0.074793012
SDSS13038,0.10264,38.528458,0.113322,38.344857,0.18360091,38.364182,0.16427555
SDSS10434,0.10289,38.47728,0.114221,38.350511,0.12676894,38.369777,0.10750311
SDSS13135,0.10337,38.400372,0.111598,38.361332,0.039039803,38.380482,0.019889306
SDSS20064,0.10391,38.25769,0.112416,38.373448,-0.11575805,38.392467,-0.13477707
SDSS14816,0.10589,38.259627,0.112285,38.417374,-0.15774728,38.435895,-0.1762685
SDSS18697,0.10602,38.388928,0.111682,38.420231,-0.031303024,38.438718,-0.049790614
SDSS20625,0.10667,38.529439,0.112607,38.434466,0.094973114,38.452784,0.076654438
SDSS18375,0.10725,38.205555,0.111743,38.447098,-0.24154339,38.465264,-0.25970888
SDSS21034,0.10751,38.544067,0.112402,38.452741,0.091326657,38.470837,0.073230283
SDSS7147,0.10924,38.548224,0.112096,38.489959,0.05826525,38.507585,0.040639133
SDSS18650,0.11271,38.715163,0.112009,38.562967,0.15219527,38.579603,0.13555993
SDSS11067,0.11304,38.632945,0.112246,38.5698,0.063144857,38.586338,0.046606882
SDSS18612,0.11368,38.434426,0.111953,38.582998,-0.14857196,38.599346,-0.16491991
SDSS16641,0.11389,38.794576,0.113093,38.587313,0.2072624,38.603598,0.19097743
SDSS16619,0.11402,38.462485,0.11346,38.589981,-0.12749568,38.606227,-0.14374169
SDSS5395,0.11635,38.729957,0.111949,38.637316,0.092640885,38.652851,0.077106157
SDSS8719,0.11651,38.672468,0.113022,38.640533,0.031934365,38.656018,0.01644954
SDSS2561,0.11741,38.700061,0.112518,38.658556,0.041505075,38.673759,0.026301791
SDSS19953,0.11767,38.741727,0.111671,38.663739,0.077988941,38.67886,0.062867394
SDSS16259,0.11771,38.640093,0.113079,38.664535,-0.024442244,38.679644,-0.039551093
SDSS1371,0.11771,38.527971,0.11196,38.664535,-0.13656332,38.679644,-0.15167217
SDSS14871,0.11845,38.812895,0.111824,38.679221,0.13367398,38.694095,0.11879994
SDSS18298,0.11863,38.416553,0.127194,38.682781,-0.26622764,38.697597,-0.28104426
SDSS13894,0.11966,38.95985,0.113363,38.703051,0.25679826,38.717537,0.24231261
SDSS13044,0.11967,38.837411,0.112171,38.703247,0.13416378,38.71773,0.11968135
SDSS5549,0.11967,38.717946,0.111976,38.703247,0.014698915,38.71773,0.00021649163
SDSS12860,0.12044,38.780122,0.113463,38.718293,0.061828984,38.732526,0.047596438
SDSS19543,0.12164,38.946145,0.112462,38.741563,0.20458231,38.755402,0.19074317
SDSS18835,0.12262,38.707357,0.11183,38.760407,-0.053050439,38.773921,-0.066564541
SDSS16021,0.12276,38.737216,0.112478,38.763087,-0.025871047,38.776555,-0.039338459
SDSS21669,0.12281,38.662602,0.129766,38.764044,-0.10144194,38.777495,-0.1148927
SDSS2916,0.12303,38.721556,0.119632,38.768249,-0.046692931,38.781626,-0.060070221
SDSS6406,0.12376,38.686488,0.111795,38.782151,-0.095663,38.795284,-0.10879544
SDSS20470,0.1244,38.959303,0.113068,38.794276,0.16502648,38.807193,0.15211016
06D2fb,0.125298,38.812432,0.085713,38.811191,0.0012413486,38.823802,-0.011369883
SDSS13005,0.12593,38.931494,0.157613,38.823028,0.10846586,38.835423,0.096070591
SDSS2992,0.12608,38.626104,0.113495,38.825829,-0.1997251,38.838173,-0.21206893
SDSS744,0.12649,38.834716,0.118731,38.83347,0.0012465666,38.845673,-0.010956422
SDSS18855,0.12715,38.872201,0.111895,38.84572,0.026480529,38.857696,0.014505327
SDSS16069,0.12739,38.792596,0.113191,38.850161,-0.057564735,38.862053,-0.069456952
SDSS18809,0.12837,38.870821,0.112485,38.86821,0.0026111216,38.879762,-0.0089404141
SDSS22075,0.12893,38.840284,0.113756,38.878466,-0.038182499,38.889822,-0.049538418
SDSS1032,0.12903,38.873791,0.115931,38.880294,-0.0065027285,38.891615,-0.017823731
SDSS5751,0.12953,38.807645,0.112137,38.889409,-0.081764558,38.900555,-0.092910239
SDSS20084,0.12961,39.141727,0.113865,38.890865,0.25086185,38.901982,0.23974438
SDSS18415,0.12961,38.956012,0.113841,38.890865,0.065147479,38.901982,0.054030004
SDSS17280,0.13045,39.199031,0.147057,38.906096,0.29293411,38.916918,0.28211254
SDSS14108,0.13243,39.234972,0.112393,38.94164,0.29333183,38.951759,0.28321338
SDSS18602,0.13362,39.077669,0.113865,38.962764,0.11490489,38.972457,0.10521232
SDSS15508,0.13392,38.966034,0.111798,38.968062,-0.0020278993,38.977647,-0.011612869
SDSS15234,0.13508,39.242322,0.113196,38.988442,0.25387953,38.997609,0.24471251
SDSS17629,0.13588,38.873391,0.113673,39.002403,-0.12901158,39.01128,-0.13788933
SDSS19775,0.13668,38.995995,0.113428,39.016287,-0.020291464,39.024874,-0.028879137
SDSS17366,0.13811,38.981395,0.112284,39.040916,-0.05952094,39.048984,-0.067588192
SDSS15171,0.13818,39.048423,0.11186,39.042116,0.0063073468,39.050158,-0.0017344029
SDSS17208,0.13864,39.36218,0.119461,39.049985,0.31219502,39.057858,0.30432115
SDSS12928,0.13868,39.066861,0.116765,39.050668,0.016193142,39.058527,0.0083338498
SDSS1794,0.14139,39.200636,0.113002,39.096523,0.10411226,39.10339,0.097245892
SDSS14437,0.14265,39.13653,0.112226,39.117565,0.018964793,39.123968,0.012561857
SDSS2635,0.1431,39.139085,0.112072,39.125038,0.014046632,39.131276,0.0078093916
SDSS13796,0.1436,39.058163,0.111766,39.133316,-0.075152914,39.139369,-0.081205919
SDSS17497,0.14382,39.107025,0.111949,39.13695,-0.02992481,39.142921,-0.035896638
SDSS8921,0.14401,39.137892,0.114616,39.140084,-0.0021921622,39.145986,-0.0080940581
SDSS16073,0.14468,39.430541,0.112388,39.151105,0.27943669,39.156759,0.27378201
SDSS14024,0.14478,39.128046,0.114439,39.152746,-0.024699815,39.158363,-0.03031763
SDSS17605,0.14533,39.165471,0.119235,39.161751,0.0037192337,39.167166,-0.0016957021
SDSS11300,0.14547,38.873755,0.113737,39.164039,-0.29028343,39.169402,-0.29564659
SDSS21062,0.14564,39.482628,0.114307,39.166813,0.31581419,39.172114,0.31051376
SDSS19940,0.14582,39.01236,0.112189,39.169748,-0.1573878,39.174982,-0.16262182
SDSS12930,0.14607,39.310932,0.117074,39.173818,0.13711372,39.17896,0.13197204
SDSS2308,0.148,39.305036,0.111944,39.205025,0.10001092,39.209454,0.095581864
SDSS21510,0.14839,39.153355,0.11378,39.211285,-0.057929103,39.21557,-0.062214193
SDSS16116,0.1486,39.394763,0.112448,39.214649,0.18011416,39.218856,0.17590671
SDSS13736,0.14901,39.262975,0.112283,39.221205,0.041770418,39.225261,0.037714328
SDSS16206,0.15065,39.118932,0.113842,39.247261,-0.1283291,39.250712,-0.13178014
SDSS2031,0.15186,39.204258,0.112035,39.266317,-0.062059884,39.269323,-0.065065019
SDSS15132,0.15295,39.375366,0.111718,39.283363,0.092003214,39.285967,0.089399282
SDSS19353,0.15322,39.272281,0.113617,39.287568,-0.015286826,39.290073,-0.017791573
SDSS18323,0.15363,39.448143,0.115274,39.29394,0.15420236,39.296294,0.15184831
SDSS17253,0.15463,39.371679,0.1715,39.309416,0.062263559,39.311403,0.060276594
SDSS5550,0.15473,39.335028,0.111655,39.310958,0.024069662,39.312909,0.022119397
SDSS18030,0.15506,39.511723,0.118308,39.316042,0.19568121,39.317871,0.19385187
SDSS18740,0.15575,39.142044,0.111931,39.326639,-0.18459507,39.328215,-0.18617174
SDSS16165,0.15596,39.343842,0.112725,39.329855,0.013986935,39.331355,0.012487079
SDSS13354,0.15653,39.221901,0.113012,39.338565,-0.11666447,39.339857,-0.11795597
SDSS17171,0.15895,39.372873,0.145393,39.37522,-0.0023471051,39.375631,-0.0027573979
SDSS15425,0.15935,39.113679,0.111983,39.381229,-0.2675504,39.381494,-0.26781558
SDSS17825,0.15999,39.420751,0.113136,39.390814,0.029936764,39.390847,0.029903449
SDSS3317,0.15999,39.263229,0.113095,39.390814,-0.12758543,39.390847,-0.12761874
SDSS2689,0.16035,39.250122,0.114045,39.39619,-0.14606746,39.396093,-0.1459706
SDSS5103,0.1605,39.327255,0.113217,39.398427,-0.071171352,39.398275,-0.071020272
SDSS13411,0.1618,39.568869,0.120879,39.41773,0.15113882,39.41711,0.15175853
SDSS20430,0.16284,39.558532,0.114429,39.43307,0.1254627,39.432077,0.12645575
SDSS19174,0.16357,39.286594,0.114386,39.443783,-0.15718894,39.442528,-0.15593464
SDSS20764,0.16387,39.453797,0.113522,39.448173,0.0056247421,39.446811,0.0069861713
SDSS3087,0.1644,39.365084,0.11306,39.45591,-0.09082527,39.454359,-0.08927486
SDSS19616,0.16455,39.387664,0.113442,39.458095,-0.070431535,39.456491,-0.068827739
SDSS12843,0.16565,39.202247,0.118455,39.474066,-0.27181906,39.472072,-0.26982462
SDSS12853,0.16817,39.333731,0.116716,39.510287,-0.17655663,39.507405,-0.17367445
SDSS15897,0.16869,39.544445,0.116161,39.517699,0.026745848,39.514635,0.029809946
05D3ne,0.169455,39.580732,0.088415,39.528564,0.052167338,39.525233,0.055498133
SDSS12856,0.17028,39.584277,0.112043,39.540231,0.044046562,39.536613,0.047663857
SDSS12855,0.17063,39.435724,0.114853,39.545164,-0.10944003,39.541426,-0.10570155
SDSS17220,0.17066,39.397723,0.115012,39.545587,-0.14786353,39.541838,-0.14411468
SDSS17389,0.1707,39.808694,0.115438,39.54615,0.26254398,39.542387,0.26630665
