zcmb,mu_obs,e_mu_obs,mb,x1,c,mu_model_lcdm,residual_lcdm,mu_model_lambdacdm,residual_lambdacdm
0.20557,40.3149,0.114899,20.8201,0.082692,-0.059073,35.8796,4.43527,35.8796,4.43527
0.2056,39.9748,0.113718,20.6625,0.25867,0.007696,35.8803,4.09457,35.8803,4.09457
0.20704,40.6342,0.117479,21.801,-1.2457,0.094327,35.9128,4.72136,35.9128,4.72136
0.20852,40.302,0.114386,20.762,1.02648,-0.031055,35.9461,4.35593,35.9461,4.35593
0.2091,40.2148,0.115699,20.592,0.80126,-0.067945,35.9591,4.25577,35.9591,4.25577
0.20953,40.2235,0.131221,21.865,-0.977679,0.259538,35.9687,4.25487,35.9687,4.25487
0.2096,40.349,0.115465,20.7391,-1.07333,-0.148416,35.9702,4.37874,35.9702,4.37874
0.210032,40.192,0.085765,21.0568,-1.23626,-0.002674,35.9798,4.21216,35.9798,4.21216
0.21025,40.3137,0.128931,21.6432,-1.60431,0.13062,35.9847,4.32901,35.9847,4.32901
0.21054,40.196,0.11424,20.7919,0.419532,-0.014647,35.9911,4.20489,35.9911,4.20489
0.21075,40.5746,0.116152,21.0226,1.12032,-0.030671,35.9958,4.57878,35.9958,4.57878
0.21082,40.1195,0.11447,20.4807,1.12522,-0.058471,35.9973,4.12219,35.9973,4.12219
0.21134,40.1434,0.115658,21.2035,0.087929,0.120136,36.0088,4.13456,36.0088,4.13456
0.21163,40.203,0.114069,20.8309,0.076743,-0.019791,36.0153,4.18776,36.0153,4.18776
0.21179,40.6714,0.124547,21.7745,-1.88037,0.04511,36.0188,4.65265,36.0188,4.65265
0.21226,40.2712,0.115112,21.0933,-0.17616,0.03142,36.0291,4.24209,36.0291,4.24209
0.2126,40.5219,0.116607,21.2461,0.141351,0.014187,36.0366,4.48531,36.0366,4.48531
0.21295,40.2974,0.121443,20.8197,0.751948,-0.023337,36.0443,4.25304,36.0443,4.25304
0.21323,40.1075,0.117876,21.2406,-0.590113,0.113055,36.0505,4.05706,36.0505,4.05706
0.21382,40.3826,0.11761,21.1106,0.56921,0.034751,36.0634,4.31921,36.0634,4.31921
0.21457,40.4636,0.114262,20.8853,-0.182983,-0.098014,36.0798,4.38382,36.0798,4.38382
0.21468,40.2628,0.114437,20.7301,1.11422,-0.024767,36.0822,4.18067,36.0822,4.18067
0.21513,40.7565,0.120494,21.433,-0.316436,-0.021846,36.0919,4.66452,36.0919,4.66452
0.21674,40.4733,0.115124,20.7095,0.90173,-0.108869,36.1268,4.34643,36.1268,4.34643
